Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS,Taken,Rank_zscore,Gs_zscore,MPG_zscore,FGA_zscore,FGM_zscore,FG%_zscore,FTA_zscore,FTM_zscore,FT%_zscore,3PM_zscore,REB_zscore,AST_zscore,ATO_zscore,STL_zscore,BLK_zscore,TOV_zscore,PTS_zscore,SUM_zscore
43,Domantas Sabonis,60,34.7,13.7,7.45,0.544,4.8,3.47,0.722,0.3,12.5,4.8,1.71,0.8,0.5,2.8,18.3,True,-1.1431626783334672,-0.9569676323540294,1.3509988111324183,0.7206029383372597,1.1996045834650697,1.136233543213172,0.9827512785885705,0.7579094819392157,-0.66751878518576,-1.2713520262741944,2.8370974558419193,0.857077504336919,-0.022036226844633532,-0.3910934098845005,-0.2765537334580853,1.3106192702950248,0.6328481751392894,1.5461194534337348
44,T.J. Warren,64,35.1,14.9,7.66,0.514,3.0,2.4,0.8,1.6,4.5,1.6,1.23,1.2,0.6,1.3,23.5,True,-1.1293061610203343,0.20018790858191915,1.4390060296284388,0.9935585967983434,1.3007338156442658,0.6419897446921887,0.0660056828902773,0.09396925918987,0.31776743925768136,0.1393321954366735,-0.4142175290789136,-0.7566245513692119,-0.6765776182693939,0.7728750719146081,-0.07673167171091384,-0.5980495699404479,1.5454412174921193,2.7678814865746793
45,Kelly Oubre Jr.,65,35.4,14.8,6.65,0.449,4.4,3.44,0.7809999999999999,2.4,6.5,1.6,1.0,1.3,0.8,1.6,21.9,True,-1.1154496437072015,0.4894767938159063,1.505011443500454,0.9708122919265865,0.8143503656395609,-0.42887181876994085,0.7790300351000612,0.7392943355069909,0.07776182048299551,1.0074455626433612,0.3986112171512946,-0.7566245513692119,-0.9902120349937582,1.0638671923643856,0.3229124517834293,-0.21631580189335323,1.264643358306633,3.1660610344862996
46,John Collins,62,31.7,14.8,8.47,0.5720000000000001,3.7,2.89,0.7809999999999999,1.1,8.8,1.8,0.95,0.6,1.2,1.9,19.5,True,-1.1015931263940684,-0.3783898618860551,0.69094467241226,0.9708122919265865,1.6908037111925938,1.5975277551660898,0.42251785899516925,0.3980166509162059,0.07776182048299551,-0.40323865906750644,1.3333642753160344,-0.6557681728875787,-1.0583934299338376,-0.9730776507840552,1.1222006987721151,0.16541796615374113,0.8434465695284039,2.7767986703727576
47,De'Aaron Fox,63,34.3,16.0,7.6,0.475,6.7,4.96,0.74,1.2,4.2,7.3,2.21,1.6,0.5,3.3,21.5,False,-1.0877366090809355,-0.08910097665206798,1.262991592636396,1.2437679503876697,1.2718397493073523,-0.0005271933850895756,1.9504271851589914,1.682461754739706,-0.4401450410834274,-0.29472448816667063,-0.5361418410134448,2.1177822353573337,0.6597777225561585,1.9368435537137174,-0.2765537334580853,1.9468422170401825,1.1944438935102617,1.7541351684344137
48,CJ McCollum,66,35.4,19.4,8.79,0.45299999999999996,2.7,2.13,0.79,2.6,4.0,3.7,2.05,0.8,0.5,1.8,21.8,True,-1.0738800917678026,0.7787656790498935,1.505011443500454,2.0171423160274053,1.8449053983227968,-0.36297264563381065,-0.08678524972610481,-0.07356705870015177,0.19144869253416322,1.2244739044450335,-0.6174247156364657,0.3023674226879366,0.44159725874790484,-0.3910934098845005,-0.2765537334580853,0.03817337680470977,1.2470934921075403,1.2791656303571017
49,Zach LaVine,60,34.6,20.0,9.02,0.451,5.6,4.52,0.807,2.9,4.8,4.3,1.26,1.4,0.5,3.4,25.0,True,-1.0600235744546695,-0.9569676323540294,1.3289970065084127,2.1536201452579475,1.9556659859476306,-0.3959222322018753,1.3901937655655896,1.4094396070670778,0.40619056196414405,1.550016417147541,-0.29229321714438244,0.604936558132836,-0.6356687813053463,1.3548593128141626,-0.2765537334580853,2.074086806389214,1.8086892104785126,2.685836071343639
50,Mitchell Robinson,64,26.2,5.6,4.04,0.722,2.4,1.4,0.584,0.0,8.1,0.7,1.0,1.0,2.6,0.7,10.4,True,-1.0461670571415367,0.20018790858191915,-0.5191545819080287,-1.1218477562750524,-0.4425415200161622,4.068746747771002,-0.23957618234248715,-0.5265356218842847,-2.4107174899703088,-1.5968945389767024,1.048874214135461,-1.210478254536561,-0.9902120349937582,0.19089083101505383,3.9197095632325167,-1.3615171060346372,-0.7535912545890485,4.6180569241160505
51,Gordon Hayward,60,34.5,13.5,6.6,0.489,2.8,2.34,0.8370000000000001,1.9,6.4,4.3,2.26,0.9,0.4,1.9,21.1,False,-1.0323105398284038,-0.9569676323540294,1.306995201884407,0.6751103285937461,0.7902719770254661,0.2301199125913693,-0.035854938853977586,0.056738966325420685,0.7851468021346985,0.46487470813918125,0.35796977983978434,0.604936558132836,0.7279591174962374,-0.10010128943472332,-0.47637579520525675,0.16541796615374113,1.1242444287138904,2.825397138758038
52,Kristaps Porzingis,54,33.9,16.4,7.0,0.42700000000000005,5.0,3.9,0.78,2.5,9.4,1.7,0.95,0.8,2.3,1.8,21.8,True,-1.0184540225152707,-2.692700943757952,1.1749843741403752,1.334753169874697,0.9828990859382208,-0.791317271018661,1.0846119003328254,1.0247265808011021,0.0651299458106451,1.1159597335441973,1.5772128991850967,-0.7061963621283954,-1.0583934299338376,-0.3910934098845005,3.3202433779910017,0.03817337680470977,1.2470934921075403,5.398859028802214
53,Malcolm Brogdon,61,35.0,13.8,6.18,0.44799999999999995,3.4,3.06,0.899,1.5,5.3,7.4,2.84,0.8,0.2,2.6,18.6,True,-1.0045975052021379,-0.6676787471200423,1.4170042250044332,0.7433492432090171,0.588013512667074,-0.4453466120539745,0.26972692637878687,0.5035024806988122,1.5683230318205093,0.030818024535837398,-0.0890860305868304,2.1682104245981506,1.5188632988011563,-0.3910934098845005,-0.8760199186995998,1.056130091596962,0.6854977737365682,1.5951731918691987
